ID_Tienda,SKU,Categoria,Stock_Actual,Velocidad_Venta_Fisica_Diaria,Cola_Pedidos_Online,Pct_Margen,Distancia_Hub_km,Tiene_Infra_SFS,Personal_Picking_Disponible
T23_Ixtapa_Zihua,SKU-LAC-033,Perecederos,160,60,5,7.5,390,No,0
T24_Tehuacan,SKU-LAP-003,Electronica,27,5,23,19.8,240,No,2
T24_Tehuacan,SKU-DET-055,Basicos,420,135,7,6.3,240,No,2
T25_Salina_Cruz,SKU-TAB-004,Electronica,14,3,15,20.4,350,No,1
T25_Salina_Cruz,SKU-HUE-037,Perecederos,170,58,4,8.8,350,No,1
T26_Cozumel,SKU-TV55-001,Electronica,10,2,20,22.5,400,No,0
T26_Cozumel,SKU-ARR-012,Perecederos,140,50,6,8.2,400,No,0
T27_Tulum,SKU-CEL-009,Electronica,18,3,25,21.7,370,No,0
T27_Tulum,SKU-CAR-061,Basicos,250,80,4,5.5,370,No,0
T28_Valladolid,SKU-AUD-007,Electronica,23,4,16,25.3,330,No,1
T28_Valladolid,SKU-POL-042,Perecederos,210,72,5,7.9,330,No,1
T29_Palenque,SKU-TV65-002,Electronica,11,2,12,24.1,260,No,0
T29_Palenque,SKU-ACE-045,Basicos,270,88,3,5.1,260,No,0
T30_San_Cristobal,SKU-LAP-003,Electronica,20,4,20,19.8,350,No,1
T30_San_Cristobal,SKU-FRU-028,Perecederos,195,68,6,9.1,350,No,1
T31_Comitan,SKU-TAB-004,Electronica,13,2,11,20.4,380,No,0
T31_Comitan,SKU-PAN-051,Basicos,320,100,2,4.8,380,No,0
T32_Cardenas_Tab,SKU-TV55-001,Electronica,36,7,28,22.5,185,No,2
T32_Cardenas_Tab,SKU-LAC-033,Perecederos,250,82,9,7.5,185,No,2
T33_Paraiso_Tab,SKU-CEL-009,Electronica,29,5,22,21.7,175,No,1
T33_Paraiso_Tab,SKU-DET-055,Basicos,390,125,8,6.3,175,No,1
T34_Tenosique,SKU-AUD-007,Electronica,9,2,10,25.3,300,No,0
T34_Tenosique,SKU-HUE-037,Perecederos,130,45,3,8.8,300,No,0
T35_Pochutla,SKU-TV65-002,Electronica,8,1,8,24.1,360,No,0
T35_Pochutla,SKU-ARR-012,Perecederos,155,52,4,8.2,360,No,0
T36_Huatulco,SKU-LAP-003,Electronica,17,3,18,19.8,355,No,1
T36_Huatulco,SKU-CAR-061,Basicos,280,90,5,5.5,355,No,1
T37_Juchitan,SKU-TAB-004,Electronica,22,4,14,20.4,330,No,1
T37_Juchitan,SKU-POL-042,Perecederos,185,63,5,7.9,330,No,1
T38_Poza_Rica,SKU-TV55-001,Electronica,48,9,40,22.5,130,Si,4
T38_Poza_Rica,SKU-ACE-045,Basicos,510,165,12,5.1,130,Si,4
T39_Tuxpan,SKU-CEL-009,Electronica,31,6,26,21.7,155,No,2
T39_Tuxpan,SKU-FRU-028,Perecederos,230,78,7,9.1,155,No,2
T40_Papantla,SKU-AUD-007,Electronica,15,3,13,25.3,150,No,1
T40_Papantla,SKU-PAN-051,Basicos,340,108,4,4.8,150,No,1
T41_Merida_Altabrisa,SKU-TV65-002,Electronica,52,10,58,24.1,282,Si,7
T41_Merida_Altabrisa,SKU-LAC-033,Perecederos,290,98,16,7.5,282,Si,7
T42_Cancun_Kabah,SKU-LAP-003,Electronica,60,11,52,19.8,378,Si,6
T42_Cancun_Kabah,SKU-DET-055,Basicos,550,170,18,6.3,378,Si,6
T43_Villahermosa_Linda,SKU-TAB-004,Electronica,44,8,30,20.4,165,Si,5
T43_Villahermosa_Linda,SKU-HUE-037,Perecederos,265,87,10,8.8,165,Si,5
T44_Veracruz_Sur,SKU-TV55-001,Electronica,41,7,37,22.5,148,Si,5
T44_Veracruz_Sur,SKU-ARR-012,Perecederos,300,96,13,8.2,148,Si,5
T45_Oaxaca_Sur,SKU-CEL-009,Electronica,19,4,19,21.7,290,No,2
T45_Oaxaca_Sur,SKU-CAR-061,Basicos,310,98,5,5.5,290,No,2
T46_Tuxtla_Sur,SKU-AUD-007,Electronica,26,5,23,25.3,325,No,2
T46_Tuxtla_Sur,SKU-POL-042,Perecederos,175,62,6,7.9,325,No,2
T47_Acapulco_Diam,SKU-TV65-002,Electronica,30,6,32,24.1,345,No,3
T47_Acapulco_Diam,SKU-ACE-045,Basicos,370,118,8,5.1,345,No,3
T48_Coatzacoalcos_N,SKU-LAP-003,Electronica,34,6,28,19.8,225,No,2
T48_Coatzacoalcos_N,SKU-FRU-028,Perecederos,245,83,9,9.1,225,No,2
T49_Campeche_Centro,SKU-TAB-004,Electronica,25,5,20,20.4,200,No,3
T49_Campeche_Centro,SKU-PAN-051,Basicos,330,105,6,4.8,200,No,3
T50_Chetumal_Sur,SKU-TV55-001,Electronica,17,3,24,22.5,455,No,0
T50_Chetumal_Sur,SKU-LAC-033,Perecederos,165,55,5,7.5,455,No,0
